SKU,NOMBRE,@IMAGEN,Publico,Mayoreo,Distribuidor,Caja,PZAS,Categoría,Descuento
XQ-S175,Bolsa de Regalo San Valentín de Papel Diseño Surtido,xq-s175.jpg,$10.00,$8.00,$7.50,$7.00,480,Temporada,0%
XQ-253,Rosa Eterna para Regalo,xq-253.jpg,$16.00,$13.00,$11.00,$10.50,520,Temporada,0%
XQ-237,Flor Eterna con Corazón de Unicel para Regalo,xq-237.jpg,$18.00,$15.00,$13.00,$12.00,300,Temporada,0%
XQ-252,Ramo de Rosas Eternas para Regalo,xq-252.jpg,$23.00,$19.00,$17.00,$16.00,370,Temporada,0%
XQ-257,Cajita de Aluminio con Rosa Eterna y Collar,xq-257.jpg,$24.00,$19.00,$17.00,$16.00,527,Temporada,0%
XQ-251,Ramo de Rosas Eternas para Regalo,xq-251.jpg,$26.00,$21.00,$18.00,$17.00,400,Temporada,0%
XQ-605,Caja de Regalo con Oso de Peluche,xq-605.jpg,$27.00,$21.00,$19.00,$18.00,192,Temporada,0%
QRJ-03,Globo con Rosa y Tira LED,qrj-03.jpg,$28.00,$22.00,$19.00,$18.00,300,Temporada,0%
XQ-606,Caja de Regalo de Rosas,xq-606.jpg,$33.00,$27.00,$24.00,$22.00,192,Temporada,0%
XQ-611,Cajita de Regalo con Pulsera y Rosas,xq-611.jpg,$42.00,$33.00,$29.00,$28.00,100,Temporada,0%
XQ-607,Cajita de Regalo con Ramo y Osito ,xq-607.jpg,$58.00,$47.00,$41.00,$39.00,120,Temporada,0%
XQ-213,Caja de Regalo en Forma de corazón con Cadena y Aretes con 10 Rosas,xq-213.jpg,$58.00,$47.00,$41.00,$39.00,165,Temporada,0%
XQ-260,Alhajero con Rosa Eterna y Collar para Regalo,xq-260.jpg,$90.00,$72.00,$64.00,$60.00,100,Temporada,0%
XQ-609,Cápsula con Luz LED y Figura de Parejas,xq-609.jpg,$97.00,$77.00,$68.00,$64.00,72,Temporada,0%
JC-13,Mini Tripie Con Soporte,jc-13.jpg,$140.00,$95.00,$88.00,$83.00,100,Soportes para Celular,0%
SOP-1077,(SOP-1077) Soporte Metálico Giratorio para Celular,sop-1077.jpg,$91.00,$67.00,$59.00,$56.00,50,Soportes para Celular,0%
SOP-1078,Soporte Ajustable para Celular,sop-1078.jpg,$46.00,$34.00,$30.00,$28.00,100,Soportes para Celular,0%
SOP-1082,Soporte Metálico Giratorio para Celular,sop-1082.jpg,$40.00,$30.00,$26.00,$25.00,200,Soportes para Celular,0%
SOP-1083,Soporte Giratorio Metálico para Celular,sop-1083.jpg,$40.00,$30.00,$26.00,$25.00,200,Soportes para Celular,0%
SOP-1070,Soporte Plegable Magnético para Telefono,sop-1070.jpg,$35.00,$32.00,$30.00,$28.00,200,Soportes para Celular,0%
XZ-6140,Soporte de Escritorio para Celular,xz-6140.jpg,$20.00,$16.00,$14.00,$13.00,200,Soportes para Celular,0%
XZ-6225,Soporte Magnético 360° para Coche A25,xz-6225.jpg,$36.00,$29.00,$25.00,$24.00,200,Soportes para Celular,0%
JC-23,Soporte De Selfie,jc-23.jpg,$158.00,$127.00,$112.00,$106.00,60,Soportes para Celular,0%
JC-15,Soprte Para Selfies,jc-15.jpg,$208.00,$167.00,$147.00,$139.00,50,Soportes para Celular,0%
SOP-1079,Soporte Magnético de Auto para Celular,sop-1079.jpg,$33.00,$24.00,$22.00,$20.00,200,Soportes para Celular,0%
XZ-6223,Soporte para Celular respaldo de Auto,xz-6223.jpg,$15.00,$12.00,$11.00,$10.00,200,Soportes para Celular,0%
XZ-6206,Soporte Magnético para Auto,xz-6206.jpg,$20.00,$16.00,$14.00,$13.00,300,Soportes para Celular,0%
BT-1001,Soporte De Iman,bt-1001.jpg,$30.00,$24.00,$21.00,$20.00,200,Soportes para Celular,0%
BT-1002,Soporte De Iman,bt-1002.jpg,$30.00,$24.00,$21.00,$20.00,200,Soportes para Celular,0%
XZ-6218,Soporte de Celular para Carro,xz-6218.jpg,$30.00,$24.00,$21.00,$20.00,200,Soportes para Celular,0%
BT-1010,Soporte Para Botellas,bt-1010.jpg,$37.00,$29.00,$26.00,$24.00,100,Soportes para Celular,0%
XZ-6210,Soporte de Auto Para Celular,xz-6210.jpg,$38.00,$30.00,$26.00,$25.00,100,Soportes para Celular,0%
BT-1003,Soporte Para Bici,bt-1003.jpg,$38.00,$31.00,$27.00,$26.00,100,Soportes para Celular,0%
SOP-1060,Soporte Para Celular,sop-1060.jpg,$48.00,$39.00,$34.00,$32.00,100,Soportes para Celular,0%
JC-35,Palo De Selfie,jc-35.jpg,$115.00,$92.00,$81.00,$77.00,100,Soportes para Celular,0%
AZJ-80504,Soporte de Moto para Celular,azj-80504.jpg,$98.00,$73.00,$65.00,$62.00,50,Soportes para Celular,0%
AZJ-80503,Soporte Para Bicicleta ,azj-80503.jpg,$98.00,$73.00,$67.00,$62.00,50,Soportes para Celular,0%
XZ-6303,Soporte de bici,xz-6303.jpg,$32.00,$26.00,$23.00,$22.00,200,Soportes para Celular,0%
XZ-6306,Soporte para Celular de Bici,xz-6306.jpg,$98.00,$78.00,$69.00,$65.00,100,Soportes para Celular,0%
XZ-6115,Soporte Para Celular,xz-6115.jpg,$16.00,$14.00,$13.00,$12.00,200,Soportes para Celular,0%
XZ-6111,Soporte Flexible Celular,xz-6111.jpg,$26.00,$20.00,$19.00,$18.00,100,Soportes para Celular,0%
AZJ-80502,Soporte con Diseño de Sombrilla para Motocicleta,azj-80502.jpg,$90.00,$68.00,$58.00,$55.00,100,Soportes para Celular,0%
AZJ-80501,Soporte con Diseño de Sombrilla para Bicicleta,azj-80501.jpg,$90.00,$68.00,$58.00,$55.00,100,Soportes para Celular,0%
XZ-6360,Soporte De Celular Para Motocicleta,xz-6360.jpg,$68.00,$54.00,$48.00,$45.00,100,Soportes para Celular,0%
XZ-6307,Soporte De Diseño,xz-6307.jpg,$105.00,$84.00,$74.00,$70.00,100,Soportes para Celular,0%
TB-6324,Smart Watch Ft50,tb-6324.jpg,$90.00,$66.00,$58.00,$55.00,100,Smartwatch,0%
TB-6317,Smarwatch Macaron,tb-6317.jpg,$65.00,$49.00,$42.00,$36.00,100,Smartwatch,0%
DZB-2330,Reloj Digital Touch Infantil,dzb-2330.jpg,$11.00,$8.00,$7.50,$7.00,1000,Smartwatch,0%
TB-6316,Smartwatch T500,tb-6316.jpg,$82.00,$60.00,$53.00,$50.00,100,Smartwatch,0%
TB-6311,Reloj Inteligente T500 Plus,tb-6311.jpg,$85.00,$82.00,$74.00,$70.00,100,Smartwatch,0%
TB-6319,Reloj T55 + Dos Correas Deportivas,tb-6319.jpg,$100.00,$72.00,$65.00,$60.00,100,Smartwatch,0%
DZB-2701,Smartwatch Infantil Económico,dzb-2701.jpg,$20.00,$16.00,$14.00,$13.00,"1,000.00",Smartwatch,0%
FVB-0302,Reloj Digital Infantil con Diseño,fvb-0302.jpg,$19.00,$15.00,$13.50,$12.50,1000,Smartwatch,0%
FVB-0301,Reloj Digital Infantil Diseño Labubu,fvb-0301.jpg,$20.00,$16.00,$14.00,$13.00,1000,Smartwatch,0%
BH-21290,Candado para Bicicletas ,bh-21290.jpg,$29.00,$23.00,$21.00,$20.00,100,Seguridad,0%
EKQ-80601,Par de Radios Walkie Talkie 777S TAJA,ekq-80601.jpg,$365.00,$315.00,$292.00,$272.00,30.00,Seguridad,0%
SJ-12200,Bloqueo De Huellas Dactilare,sj-12200.jpg,$200.00,$160.00,$141.00,$133.00,50,Seguridad,0%
DJJ-888,(DJJ-888) Radio Woki Toki,djj-888.jpg,$227.00,$182.00,$160.00,$152.00,50,Seguridad,0%
EKQ-80602,Par de Radios Walkie Talkie,ekq-80602.jpg,$441.00,$324.00,$285.00,$270.00,30,Seguridad,0%
XS-1203,Cámarta de Seguridad A9,xs-1203.jpg,$76.00,$61.00,$58.00,$56.00,100,Seguridad,0%
EKQ-30901,Mini Cámara Espía de Seguridad,ekq-30901.jpg,$90.00,$72.00,$64.00,$60.00,100,Seguridad,0%
ZXJ-2110,(ZXJ-2110) Camara Deportiva Tipo Go Pro,zxj-2110.jpg,$233.00,$187.00,$165.00,$155.00,40,Seguridad,0%
EKQ-30403,Camara Dual de Seguridad Wifi Socket,ekq-30403.jpg,$375.00,$300.00,$265.00,$250.00,50,Seguridad,0%
BH-21277,Banda de Resistencia para Yoga,bh-21277.jpg,$25.00,$20.00,$17.00,$16.00,200,Salud y Belleza,0%
BH-2169,Rizador Para Cabello,bh-2169.jpg,$161.00,$129.00,$114.00,$108.00,36,Salud y Belleza,0%
